id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemberian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,114423,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46223,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44113,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,61590,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,51226,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14748,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8452,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19179,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,41162,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21281,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17856,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,16128,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,27361,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19671,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,22342,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,61040,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33130,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3037,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,18165,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5625,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,14475,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,4676,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,20249,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,29271,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,2622,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10300,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,1385,ORANG,2019
