id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,16179,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6641,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3570,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3954,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,3682,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2971,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1613,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2270,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,6098,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2133,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1676,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10369,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1892,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,669,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3354,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,5153,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1684,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,39,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,2047,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,634,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,3999,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,2472,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,4955,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,3021,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,888,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1679,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,523,ORANG,2019
