id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemeriksaan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,109.0,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0.0,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18.0,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0.0,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,935.0,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,23.0,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2.0,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7.0,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2.0,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.0,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,13.0,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,9.0,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,46.0,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,7.0,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,1.0,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,0.0,ORANG,2019
