perusahaan,jumlah
PT. Hiba Utama,998
PT. Hiba Utama (2),949
PT. Big Bird Pusaka,665
PT. Sinar Jaya Langgeng Utama,508
PT. Panorama Transportasi,229
PT. Big Bird,122
PT. City Trans Utama,117
PT. Destinasi Tirta Nusantara,117
PT. Fajar Cemerlang Binakharisma,98
PT. Arion Indonesia Transport,60
PT. Pahala Kencana,53
PT. Kramatdjati Asri Sejati,48
PT. Warga Baru Expres,43
PT. Ekspress Mulia Perdana,37
PT. Express Transindo Utama,36
PT. Primajasa Perdanaraya U.,35
PO. Safari Eka Kapti,32
PT. Vista Touristama Transport,27
PT. Safari Dharma Sakti,25
PT. Yalakarya Rintiskrida,25
PT. Express Kencanakelola Jayajasa,25
PT. Cipaganti Citra Graha Cab. Jakarta,25
PT. Vaya Transport,25
PT. Desiana Citra Lestari,17
PT. Indo Hasstra,17
PT. Dharma Indah Agung Metropolitan,16
PT. Jaya Murni Sejahtera,15
PT. Semesta Indo Prima,15
Perum Damri St. Wisata,12
PT. Metro Multi Transportasi,12
PT. Solusindo Anugerah Wisata,11
Perum. P.P.D.,10
PT. Kanaya Trans Wisata,10
PT. Mitra Global Holiday,9
PT. Mano Marion,9
PT. Prima Vijaya Indah,8
PT. Anugerah Mas,8
PT. Griya Damai Kita,7
PT. Antar Arah,6
PT. Sabah Nusantara,6
PT. Indonesia Indah Wisata,6
PT. Ilung Pratama,5
PT. Prima Transport Indonesia,5
PT. Laks Premium Autobus,5
PT. Malino Putra Kencana,5
PT. Canary Transport,5
PT. Nuansa Magna Wisata,5
PT. Cahaya Mitra Mikum,5
PT. Agus Jaya Sekawan,5
PT. Ayuta Samarthya,5
PT. Rudi Mapan Jaya,5
PT. Nugindo Travel Service,4
PT. Bpw Pahala Kencana,4
PT. Bintang Kedjora Putra Utama,3
PT. Eurasia Wisata T & T,2
PT. Marintur Indonesia,2
PT. E World Transport,2
PT. Hanida Utama Usaha Bersama,2
PT. Jakarta Transporter Service,2
PT. Midas Transportasi,2
