wilayah,lokasi,jenis_kendaraan,keterangan
Jakarta Pusat,Jl. Gatot Subroto,Bus AKAP,Terminal Bayangan
Jakarta Pusat,Jl. Kebon Jati Tn. Abang,Mobil Barang,Bongkar Muat Angkutan Barang
Jakarta Pusat,Jl. Jati Baru Tn. Abang,Mobil Barang,Bongkar Muat Angkutan Barang
Jakarta Pusat,Jl. KH. Mas Mansyur Tn. Abang,Mobil Barang,Bongkar Muat Angkutan Barang
Jakarta Pusat,Jl. Wahid Hasyim,Mobil Barang,Bongkar Muat Angkutan Barang
Jakarta Pusat,Jl. Samanhudi,Kendaraan Pribadi,Pengunjung Belanja Ps. Baru
Jakarta Pusat,Jl. Abdul Muis,Kendaraan Pribadi,Tamu dari Dephub
Jakarta Pusat,Jl. Kramat Raya,Kendaraan Pribadi,Pengunjung Belanja Ps. Kenari
Jakarta Pusat,Jl. Poncol,Kendaraan Pribadi,Tanpa Lahan Parkir
Jakarta Pusat,"Jl. Soeprapto - Cempaka I,II dan III",Kendaraan Material,
Jakarta Pusat,Jl. Soeprapto - Galur,Kendaraan Material,
Jakarta Pusat,Jl. Soeprapto - Depan ITC,Kendaraan Material,
Jakarta Pusat,Jl. Cikini Raya,Kendaraan Pribadi,Konsumen Pasar Areal  Parkir Terbatas
Jakarta Pusat,Jl. Pramuka,Kendaraan Pribadi,Pemilik dan konsumen rental fhoto copy
Jakarta Timur,"Jl. Raya Pemuda (SD Tarakanita, Labscool-UNJ)",Kendaraan Pribadi,Diperlukan petugas gabungan
Jakarta Timur,Jl. Raya Bekasi Timur (Depan Kantor Imigrasi),Kendaraan Pribadi,Diperlukan petugas gabungan
Jakarta Timur,Prumpung (taman Viaducr),Pangkalan Truck,Diperlukan petugas gabungan
Jakarta Timur,Jl. Raya Pramuka ( Ps. Pramuka ),Kendaraan Pribadi,Diperlukan petugas gabungan
Jakarta Timur,Jl. Matraman Raya (depan sekolah Marsudirini),Kendaraan Pribadi,Diperlukan petugas gabungan
Jakarta Timur,Jl. Otista raya,Kendaraan Pribadi,Diperlukan petugas gabungan
Jakarta Timur,Jl. Raya Kali Malang ( Pangkalan Jati ),Bus AKAP,Diperlukan petugas gabungan
Jakarta Timur,Jl. Raya Bogor (Depan Ps. Induk Kramat Jati),"Kendaraan Pribadi, Mobil Barang",Diperlukan petugas gabungan
Jakarta Utara,Jl. Boulevard Raya Kelapa Gading,,Parkir dibadan jalan
Jakarta Utara,Jl. Boulevard  Barat Raya Kelapa Gading,,Parkir dibadan jalan
Jakarta Utara,Jl. Raya kelapa Hibryda (depan sekolah Penabur),,Parkir dibadan jalan
Jakarta Utara,Jl. Kelapa Nias Raya,,Parkir dibadan jalan
Jakarta Utara,Jl. Raya Boulevard Timur (depan sekolah Al-Azhar),,Parkir dibadan jalan
Jakarta Barat,Jl. Tali samping Hotel Panin Sula (Timur - Barat),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Tali Sampaing BCA (Barat - Timur),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Dibawah Jembatan Metro Glodok Kota (Selatan - Utara),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Dibawah Jembatan Metro Glodok Kota / Depan POSPOL  ( Utara - Selatan ),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Kyai Tapa depan Sumber Waras (Timur - Barat),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Kyai Tapa depan Trisakti ( Timur - Barat ),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Jembatan Lima ( Utara - Selatan ),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Jembatan Lima ( Selatan - Utara ) ,Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Piontu Kecil ( Timur - barat ),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. Pinang Sia Raya ( Utara - Selatan ),Kendaraan Pribadi,Parkir dibadan jalan
Jakarta Barat,Jl. S. Parman depan toko buah segar,Kendaraan Pribadi,Parkir dibadan jalan
