tahun,bulan,wilayah,jumlah_rumah_tangga_miskin,jumlah_keluarga_miskin,jenis_penanganan_kemiskinan,jumlah,,,
2018,12,Wilayah Jakarta Pusat,38226,40702,Bnpt Rumah Tangga,,,,
2018,12,Wilayah Jakarta Utara,75492,78625,Bnpt Rumah Tangga,53756,,,
2018,12,Wilayah Jakarta Barat,59545,63256,Bnpt Rumah Tangga,46716,,,
2018,12,Wilayah Jakarta Selatan,55189,59626,Bnpt Rumah Tangga,39776,,,
2018,12,Wilayah Jakarta Timur,78695,82679,Bnpt Rumah Tangga,51427,,,
2018,12,Kepulauan Seribu,1851,2153,Bnpt Rumah Tangga,,,,
2018,12,Wilayah Jakarta Pusat,38226,40702,Rasta Rumah Tangga,,,,
2018,12,Wilayah Jakarta Utara,75492,78625,Rasta Rumah Tangga,                            ,,,
2018,12,Wilayah Jakarta Barat,59545,63256,Rasta Rumah Tangga,                            ,,,
2018,12,Wilayah Jakarta Selatan,55189,59626,Rasta Rumah Tangga,                            ,,,
2018,12,Wilayah Jakarta Timur,78695,82679,Rasta Rumah Tangga,                            ,,,
2018,12,Kepulauan Seribu,1851,2153,Rasta Rumah Tangga,1301,,,
2018,12,Wilayah Jakarta Pusat,38226,40702,Pkh Rumah Tangga,,,,
2018,12,Wilayah Jakarta Utara,75492,78625,Pkh Rumah Tangga,9937,,,
2018,12,Wilayah Jakarta Barat,59545,63256,Pkh Rumah Tangga,10985,,,
2018,12,Wilayah Jakarta Selatan,55189,59626,Pkh Rumah Tangga,1017,,,
2018,12,Wilayah Jakarta Timur,78695,82679,Pkh Rumah Tangga,1387,,,
2018,12,Kepulauan Seribu,1851,2153,Pkh Rumah Tangga,545,,,
2018,12,Wilayah Jakarta Pusat,38226,40702,Aslut Jiwa,,,,
2018,12,Wilayah Jakarta Utara,75492,78625,Aslut Jiwa,255,,,
2018,12,Wilayah Jakarta Barat,59545,63256,Aslut Jiwa,279,,,
2018,12,Wilayah Jakarta Selatan,55189,59626,Aslut Jiwa,207,,,
2018,12,Wilayah Jakarta Timur,78695,82679,Aslut Jiwa,237,,,
2018,12,Kepulauan Seribu,1851,2153,Aslut Jiwa,50,,,
2018,12,Wilayah Jakarta Pusat,38226,40702,Tasa Jiwa,,,,
2018,12,Wilayah Jakarta Utara,75492,78625,Tasa Jiwa,168,,,
2018,12,Wilayah Jakarta Barat,59545,63256,Tasa Jiwa,116,,,
2018,12,Wilayah Jakarta Selatan,55189,59626,Tasa Jiwa,315,,,
2018,12,Wilayah Jakarta Timur,78695,82679,Tasa Jiwa,402,,,
2018,12,Kepulauan Seribu,1851,2153,Tasa Jiwa,                  ,,,
2018,12,Wilayah Jakarta Pusat,38226,40702,Apbd Jiwa,,,,
2018,12,Wilayah Jakarta Utara,75492,78625,Apbd Jiwa,208,,,
2018,12,Wilayah Jakarta Barat,59545,63256,Apbd Jiwa,264,,,
2018,12,Wilayah Jakarta Selatan,55189,59626,Apbd Jiwa,114,,,
2018,12,Wilayah Jakarta Timur,78695,82679,Apbd Jiwa,73,,,
2018,12,Kepulauan Seribu,1851,2153,Apbd Jiwa,16,,,
